,description.languages,activity,sector,location.country,location.town,borrowers.gender,borrowers.pictured,terms.disbursal_currency,terms.loss_liability.nonpayment,terms.loss_liability.currency_exchange,delinquent,journal_totals.entries,terms.loan_amount,duration,status
0,en,Carpentry,Construction,Nicaragua,Managua,M,TRUE,USD,partner,none,FALSE,1.0,500,520.0,paid
1,en,Construction,Construction,Gaza,Rafah,M,TRUE,USD,lender,none,FALSE,7.0,600,880.0,defaulted
2,en,Bakery,Food,Honduras,Siguatepeque,F,TRUE,USD,partner,none,FALSE,2.0,500,586.0,paid
3,en,Tailoring,Services,Honduras,Siguatepeque,F,TRUE,USD,partner,none,FALSE,2.0,500,,paid
4,en,Beauty Salon,Services,Kenya,Ongata Rongai,F,TRUE,USD,partner,none,FALSE,2.0,575,748.0,paid
5,en,Grocery Store,Food,Honduras,Danli,M,TRUE,USD,partner,none,FALSE,1.0,225,593.0,paid
6,en,Clothing Sales,Clothing,Honduras,Danli,F,TRUE,USD,partner,none,FALSE,1.0,650,740.0,paid
7,en,Cattle,Agriculture,Kenya,"Olturoto, Kajiado District",F,TRUE,USD,partner,none,FALSE,1.0,750,748.0,paid
8,en,Cattle,Agriculture,Kenya,"Olturoto, Kajiado District",F,TRUE,USD,partner,none,FALSE,1.0,900,779.0,paid
9,en,Construction,Construction,Uganda,Banda-kireka,M,TRUE,USD,partner,none,FALSE,2.0,450,258.0,paid
10,en,Retail,Retail,Bulgaria,Sliven,F,TRUE,USD,lender,none,FALSE,3.0,1875,354.0,paid
11,en,Soft Drinks,Food,Kenya,Muranga,F,TRUE,USD,partner,none,FALSE,2.0,300,383.0,paid
12,en,Grocery Store,Food,Kenya,Muranga,F,TRUE,USD,partner,none,FALSE,1.0,300,372.0,paid
13,en,Personal Housing Expenses,Housing,Uganda,"Bukoto, Ntinda",F,TRUE,USD,lender,none,FALSE,2.0,450,449.0,paid
14,en,Transportation,Transportation,Cambodia,Dangkao District,M,TRUE,USD,partner,none,FALSE,2.0,300,354.0,paid
15,en,Construction,Construction,Honduras,El Paraiso,F,TRUE,USD,partner,none,FALSE,1.0,900,368.0,paid
16,en,Construction Supplies,Construction,Honduras,Danli,F,TRUE,USD,partner,none,FALSE,1.0,750,279.0,paid
17,en,Grocery Store,Food,Honduras,El Paraiso,F,TRUE,USD,partner,none,FALSE,1.0,200,102.0,paid
18,en,Clothing Sales,Clothing,Honduras,Danli,F,TRUE,USD,partner,none,FALSE,1.0,500,273.0,paid
19,en,Milk Sales,Food,Kenya,Muranga,F,TRUE,USD,partner,none,FALSE,1.0,300,308.0,paid
20,en,Food Production/Sales,Food,Kenya,Kangema,F,TRUE,USD,partner,none,FALSE,2.0,225,310.0,paid
21,en,Food Production/Sales,Food,Moldova,Tibirica,M,TRUE,USD,partner,none,FALSE,1.0,600,262.0,paid
22,en,Grocery Store,Food,Moldova,Calarasi,M,TRUE,USD,partner,none,FALSE,2.0,750,353.0,paid
23,en,Retail,Retail,Mexico,Monterrey,M,TRUE,USD,partner,none,FALSE,2.0,475,185.0,paid
24,en,Food Production/Sales,Food,Bulgaria,Sliven,M,TRUE,USD,lender,none,FALSE,1.0,1000,653.0,paid
