,description.languages,status,funded_amount,activity,sector,location.country,location.town,partner_id,borrowers.gender,borrowers.pictured,terms.disbursal_amount,terms.disbursal_currency,terms.loan_amount,terms.loss_liability.nonpayment,terms.loss_liability.currency_exchange,journal_totals.entries,delinquent,duration
0,en,paid,500,Carpentry,Construction,Nicaragua,Managua,5,M,True,500.0,USD,500,partner,none,1.0,False,520.0
1,en,defaulted,600,Construction,Construction,Gaza,Rafah,2,M,True,600.0,USD,600,lender,none,7.0,False,880.0
2,en,paid,500,Bakery,Food,Honduras,Siguatepeque,5,F,True,500.0,USD,500,partner,none,2.0,False,586.0
3,en,paid,500,Tailoring,Services,Honduras,Siguatepeque,5,F,True,500.0,USD,500,partner,none,2.0,False,
4,en,paid,575,Beauty Salon,Services,Kenya,Ongata Rongai,6,F,True,575.0,USD,575,partner,none,2.0,False,748.0
5,en,paid,225,Grocery Store,Food,Honduras,Danli,5,M,True,225.0,USD,225,partner,none,1.0,False,593.0
6,en,paid,650,Clothing Sales,Clothing,Honduras,Danli,5,F,True,650.0,USD,650,partner,none,1.0,False,740.0
7,en,paid,750,Cattle,Agriculture,Kenya,"Olturoto, Kajiado District",6,F,True,750.0,USD,750,partner,none,1.0,False,748.0
8,en,paid,900,Cattle,Agriculture,Kenya,"Olturoto, Kajiado District",6,F,True,900.0,USD,900,partner,none,1.0,False,779.0
9,en,paid,450,Construction,Construction,Uganda,Banda-kireka,8,M,True,450.0,USD,450,partner,none,2.0,False,258.0
10,en,paid,1875,Retail,Retail,Bulgaria,Sliven,3,F,True,1875.0,USD,1875,lender,none,3.0,False,354.0
11,en,paid,300,Soft Drinks,Food,Kenya,Muranga,6,F,True,300.0,USD,300,partner,none,2.0,False,383.0
12,en,paid,300,Grocery Store,Food,Kenya,Muranga,6,F,True,300.0,USD,300,partner,none,1.0,False,372.0
13,en,paid,450,Personal Housing Expenses,Housing,Uganda,"Bukoto, Ntinda",8,F,True,450.0,USD,450,lender,none,2.0,False,449.0
14,en,paid,300,Transportation,Transportation,Cambodia,Dangkao District,9,M,True,300.0,USD,300,partner,none,2.0,False,354.0
15,en,paid,900,Construction,Construction,Honduras,El Paraiso,5,F,True,900.0,USD,900,partner,none,1.0,False,368.0
16,en,paid,750,Construction Supplies,Construction,Honduras,Danli,5,F,True,750.0,USD,750,partner,none,1.0,False,279.0
17,en,paid,200,Grocery Store,Food,Honduras,El Paraiso,5,F,True,200.0,USD,200,partner,none,1.0,False,102.0
18,en,paid,500,Clothing Sales,Clothing,Honduras,Danli,5,F,True,500.0,USD,500,partner,none,1.0,False,273.0
19,en,paid,300,Milk Sales,Food,Kenya,Muranga,6,F,True,300.0,USD,300,partner,none,1.0,False,308.0
20,en,paid,225,Food Production/Sales,Food,Kenya,Kangema,6,F,True,225.0,USD,225,partner,none,2.0,False,310.0
21,en,paid,600,Food Production/Sales,Food,Moldova,Tibirica,17,M,True,600.0,USD,600,partner,none,1.0,False,262.0
22,en,paid,750,Grocery Store,Food,Moldova,Calarasi,17,M,True,750.0,USD,750,partner,none,2.0,False,353.0
23,en,paid,475,Retail,Retail,Mexico,Monterrey,16,M,True,475.0,USD,475,partner,none,2.0,False,185.0
24,en,paid,1000,Food Production/Sales,Food,Bulgaria,Sliven,3,M,True,1000.0,USD,1000,lender,none,1.0,False,653.0
25,en,paid,150,Farming,Agriculture,Kenya,Kangema,6,F,True,150.0,USD,150,partner,none,1.0,False,302.0
26,en,paid,150,Grocery Store,Food,Honduras,Danli,5,F,True,150.0,USD,150,partner,none,1.0,False,168.0
27,en,paid,225,Farming,Agriculture,Kenya,Kangema,6,F,True,225.0,USD,225,partner,none,1.0,False,305.0
28,en,paid,450,Decorations Sales,Retail,Mexico,Monterrey,16,F,True,450.0,USD,450,partner,none,1.0,False,198.0
29,en,paid,200,Food Production/Sales,Food,Mexico,Yucatán,16,F,True,200.0,USD,200,partner,none,1.0,False,168.0
30,en,paid,925,Agriculture,Agriculture,Mexico,Yucatán,16,F,True,925.0,USD,925,partner,none,1.0,False,167.0
31,en,defaulted,300,Beauty Salon,Services,Kenya,Kiambu,6,F,True,300.0,USD,300,lender,none,2.0,True,
32,en,paid,275,Manufacturing,Manufacturing,Mexico,"Mérida, Yucatán",16,M,True,275.0,USD,275,partner,none,1.0,False,129.0
33,en,paid,150,Sewing,Services,Honduras,Tegucigalpa,5,F,True,150.0,USD,150,partner,none,1.0,False,137.0
34,en,paid,300,Food Production/Sales,Food,Honduras,Danli,5,M,True,300.0,USD,300,partner,none,1.0,False,137.0
35,en,paid,175,Food Production/Sales,Food,Honduras,Danli,5,M,True,175.0,USD,175,partner,none,1.0,False,137.0
36,en,paid,200,Clothing Sales,Clothing,Honduras,Danli,5,F,True,200.0,USD,200,partner,none,1.0,False,137.0
37,en,paid,800,Food Production/Sales,Food,Mexico,Nuevo Laredo,18,F,True,800.0,USD,800,partner,none,1.0,False,411.0
38,en,paid,150,Grocery Store,Food,Honduras,Danli,5,M,True,150.0,USD,150,partner,none,1.0,False,106.0
39,en,paid,200,Clothing Sales,Clothing,Honduras,Tegucigalpa,5,F,True,200.0,USD,200,partner,none,1.0,False,106.0
40,en,paid,550,Used Clothing,Clothing,Tanzania,Dar Es Salaam,10,F,True,550.0,USD,550,partner,none,1.0,False,110.0
41,en,paid,500,Food Market,Food,Azerbaijan,Beylagan,31,F,True,500.0,USD,500,partner,none,1.0,False,366.0
42,en,paid,300,Computers,Services,Azerbaijan,Beylagan,31,M,True,300.0,USD,300,partner,none,1.0,False,366.0
43,en,paid,900,Food Production/Sales,Food,Azerbaijan,Baku,31,M,True,900.0,USD,900,partner,none,2.0,False,366.0
44,en,paid,800,Food Production/Sales,Food,Ghana,"Nkurankan, Yilo Krobo District,",19,F,True,800.0,USD,800,partner,none,1.0,False,274.0
45,en,paid,1000,Clothing Sales,Clothing,Azerbaijan,Beylagan,31,M,True,1000.0,USD,1000,partner,none,1.0,False,366.0
46,en,paid,1200,Farming,Agriculture,Samoa,Saleilua,15,F,True,1200.0,USD,1200,partner,none,2.0,False,583.0
47,en,paid,850,Soft Drinks,Food,Samoa,Taufusi,15,F,True,850.0,USD,850,partner,none,2.0,False,589.0
48,,paid,275,Vehicle Repairs,Services,Mexico,"Saltillo, Coahuila",16,M,True,275.0,USD,275,partner,none,1.0,False,78.0
49,en,defaulted,700,Cereals,Food,Kenya,Wanyororo,25,F,True,700.0,USD,700,lender,none,1.0,True,
50,,paid,550,General Store,Retail,Mexico,"Sabinas Hidalgo, Nuevo León",16,F,True,550.0,USD,550,partner,none,1.0,False,170.0
51,,paid,200,Food Production/Sales,Food,Mexico,"San Juanito, Chihuahua",16,F,True,200.0,USD,200,partner,none,1.0,False,47.0
52,en,paid,250,Furniture Making,Manufacturing,Honduras,Tegucigalpa,5,M,True,250.0,USD,250,partner,none,1.0,False,230.0
53,en,paid,325,Crafts,Arts,Afghanistan,Kabul,34,F,True,325.0,USD,325,partner,none,2.0,False,231.0
54,,paid,400,Dairy,Agriculture,Bolivia,La Paz,48,F,True,400.0,USD,400,partner,none,5.0,False,366.0
55,en,paid,200,Decorations Sales,Retail,Mexico,"Escobedo, Nuevo León",16,F,True,200.0,USD,200,partner,none,1.0,False,78.0
56,en,paid,1025,Vehicle Repairs,Services,Afghanistan,Kabul,34,M,True,1025.0,USD,1025,partner,none,2.0,False,236.0
57,en,paid,875,Home Products Sales,Retail,Ecuador,Guayaquil,7,M,True,875.0,USD,875,partner,none,2.0,False,268.0
58,en,paid,75,Food Market,Food,Viet Nam,"Long My, Hau Giang",41,F,True,75.0,USD,75,partner,none,3.0,False,245.0
59,en,defaulted,825,Farming,Agriculture,Ecuador,Baba,7,M,True,825.0,USD,825,lender,none,1.0,True,
60,en,defaulted,700,Farming,Agriculture,Kenya,Nyandarwa,25,M,True,700.0,USD,700,lender,none,1.0,True,
61,en,paid,75,Grocery Store,Food,Viet Nam,"Long My, Hau Giang",41,F,True,75.0,USD,75,partner,none,3.0,False,245.0
62,en,paid,75,Food Production/Sales,Food,Viet Nam,"Phung Hiep,hau Giang",41,M,True,75.0,USD,75,partner,none,2.0,False,246.0
63,en,paid,500,Clothing Sales,Clothing,Ukraine,Melitopol,26,F,True,500.0,USD,500,partner,none,1.0,False,174.0
64,en,paid,800,Clothing Sales,Clothing,Ukraine,Nikopol,26,F,True,800.0,USD,800,partner,none,1.0,False,175.0
65,en,paid,1025,Cosmetics Sales,Retail,Afghanistan,Kabul,34,M,True,1025.0,USD,1025,partner,none,2.0,False,233.0
66,en,paid,75,Retail,Retail,Viet Nam,"Duc Linh, Binh Thuan",41,F,True,75.0,USD,75,partner,none,3.0,False,183.0
67,en,defaulted,300,Grocery Store,Food,Kenya,Ongata Rongai,6,F,True,300.0,USD,300,lender,none,1.0,True,
68,en,defaulted,600,Grocery Store,Food,Kenya,"Pondamali, Nakuru",25,F,True,600.0,USD,600,lender,none,1.0,True,
69,,paid,200,Food Production/Sales,Food,Mexico,San Cristobal De Las Casas,51,F,True,200.0,USD,200,partner,none,2.0,False,245.0
70,,paid,500,Food Production/Sales,Food,Honduras,Tegucigalpa,5,F,True,500.0,USD,500,partner,none,1.0,False,352.0
71,en,paid,450,Restaurant,Food,Dominican Republic,Samana,44,F,True,450.0,USD,450,partner,none,2.0,False,183.0
72,en,defaulted,300,Farming,Agriculture,Kenya,Thika Town,6,F,True,300.0,USD,300,lender,none,1.0,True,
73,en,paid,1000,General Store,Retail,The Democratic Republic of the Congo,Kinshasa,46,F,True,1000.0,USD,1000,partner,none,1.0,False,122.0
74,en,paid,500,Retail,Retail,The Democratic Republic of the Congo,Kinshasa,46,F,True,500.0,USD,500,partner,none,1.0,False,122.0
75,en,paid,150,Food Production/Sales,Food,Kenya,"Bumula, Bungoma",27,F,True,150.0,USD,150,partner,none,1.0,False,184.0
76,,paid,650,Agriculture,Agriculture,Peru,Huancayo,71,F,True,2000.0,PEN,650,partner,partner,2.0,False,263.0
77,,paid,200,Food Production/Sales,Food,Peru,Ayacucho,70,F,True,600.0,PEN,200,partner,partner,1.0,False,134.0
78,,paid,175,Food Production/Sales,Food,Peru,Huancayo,71,F,True,500.0,PEN,175,partner,partner,1.0,False,209.0
79,en,paid,250,Retail,Retail,Viet Nam,Dong Anh- Ha Noi,85,F,True,4176000.0,VND,250,lender,partner,1.0,False,183.0
80,,paid,325,Internet Cafe,Services,Peru,Chanchamayo,71,F,True,1000.0,PEN,325,partner,partner,2.0,False,172.0
81,en,paid,425,Construction Supplies,Construction,Ghana,Oda,88,M,True,600.0,GHS,425,partner,partner,1.0,False,214.0
82,en,paid,700,Phone Use Sales,Retail,Ghana,Oda,88,M,True,1000.0,GHS,700,partner,partner,1.0,False,214.0
83,,paid,500,Food Production/Sales,Food,Peru,Pucallpa,71,F,True,1500.0,PEN,500,partner,partner,1.0,False,293.0
84,en,paid,275,General Store,Retail,Philippines,"Calape, Bohol",125,M,True,12000.0,PHP,275,partner,partner,2.0,False,151.0
85,en,paid,350,Clothing Sales,Clothing,Ghana,Elmina,91,F,True,500.0,GHS,350,partner,partner,3.0,False,260.0
86,en,paid,700,Grocery Store,Food,Ghana,Elmina,91,M,True,1000.0,GHS,700,partner,partner,1.0,False,260.0
87,en,paid,225,Beauty Salon,Services,Nigeria,"Ibadan, Oyo State",20,F,True,30000.0,NGN,225,partner,partner,1.0,False,239.0
88,,paid,500,Fruits & Vegetables,Food,Senegal,Ndoucoura Thiès,105,F,True,250000.0,XOF,500,partner,partner,1.0,False,212.0
89,en,paid,350,Beauty Salon,Services,Ghana,Oda,88,F,True,500.0,GHS,350,partner,partner,1.0,False,214.0
90,en,paid,850,Used Clothing,Clothing,Ghana,Oda,88,M,True,1200.0,GHS,850,partner,partner,1.0,False,214.0
